odds_id,event_id,sport,match,market,market_params,bookmaker,outcome,odds,timestamp,is_active
2bb0e2dc-1c9f-42df-98ab-1ded3db768b4,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Match Winner,,Ladbrokes,Liverpool,2.77,2025-11-11T00:14:04.484555,True
a0e69000-d5e9-4b68-b0f7-133899da0986,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Match Winner,,Ladbrokes,Draw,3.8,2025-11-11T00:14:04.484555,True
bddaa93d-781e-4f8d-9341-2c96f534a8ec,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Match Winner,,Ladbrokes,Manchester City,2.45,2025-11-11T00:14:04.484555,True
5263e545-4644-459d-97d9-56b801a2dde7,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Match Winner,,Coral,Liverpool,2.21,2025-11-11T00:14:04.484555,True
e52482ae-606b-455a-acb5-7e84c73221fd,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Match Winner,,Coral,Draw,3.24,2025-11-11T00:14:04.484555,True
fb8ba27a-9368-4e3f-ad58-a7f71409a5b9,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Match Winner,,Coral,Manchester City,2.14,2025-11-11T00:14:04.484555,True
9f0a1dc6-966b-4c26-8659-a36304436570,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Match Winner,,888sport,Liverpool,3.38,2025-11-11T00:14:04.484555,True
4bd8684e-2943-4286-8455-e35ca60a6454,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Match Winner,,888sport,Draw,3.85,2025-11-11T00:14:04.484555,True
8e321e2b-3ffd-474c-af34-4061a36b625d,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Match Winner,,888sport,Manchester City,3.01,2025-11-11T00:14:04.484555,True
ccca820f-aa4f-4080-bb1d-9058bfa6f5e3,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Match Winner,,Betway,Liverpool,3.3,2025-11-11T00:14:04.484555,True
ca9cbc76-e645-40c8-bbae-2cfe6a798346,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Match Winner,,Betway,Draw,3.78,2025-11-11T00:14:04.484555,True
251ba91d-505d-4c46-aad7-fb33b18cac18,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Match Winner,,Betway,Manchester City,3.09,2025-11-11T00:14:04.484555,True
0f30625e-9572-414b-abe3-f787963dcc35,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Match Winner,,Unibet,Liverpool,3.45,2025-11-11T00:14:04.484555,True
0f5401a0-3416-4f10-9cc5-1136c85038a9,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Match Winner,,Unibet,Draw,4.08,2025-11-11T00:14:04.484555,True
00f659a3-a2eb-4b52-809c-e201e7575f7a,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Match Winner,,Unibet,Manchester City,2.55,2025-11-11T00:14:04.484555,True
f0aca006-57f7-4384-9969-bc42fbb38b1a,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Over/Under,2.5,Coral,Over 2.5,2.06,2025-11-11T00:14:04.484555,True
3cba77cb-2110-4262-a4d2-7f2b86fd1dc6,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Over/Under,2.5,Coral,Under 2.5,1.97,2025-11-11T00:14:04.484555,True
f470e0b1-724a-4f1b-b0b2-1d9e198c8016,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Over/Under,2.5,Betway,Over 2.5,2.02,2025-11-11T00:14:04.484555,True
dd6a377c-8f71-4131-8b66-558e699fb444,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Over/Under,2.5,Betway,Under 2.5,1.97,2025-11-11T00:14:04.484555,True
890c12a6-fce9-43a2-a437-4f18f6a8850d,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Over/Under,2.5,888sport,Over 2.5,1.99,2025-11-11T00:14:04.484555,True
6f28ba7f-3db7-4973-beec-acb6f3d40c34,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Over/Under,2.5,888sport,Under 2.5,2.03,2025-11-11T00:14:04.484555,True
5e1103f3-6d87-43eb-9247-ff86dabc07a6,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Over/Under,2.5,William Hill,Over 2.5,1.95,2025-11-11T00:14:04.484555,True
72c943b7-98ea-487c-a95b-7a28a3ae0462,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Over/Under,2.5,William Hill,Under 2.5,2.02,2025-11-11T00:14:04.484555,True
a15b006e-c354-49be-9cfc-1b2c96bd58cc,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Over/Under,2.5,Bwin,Over 2.5,1.94,2025-11-11T00:14:04.484555,True
28ffdce8-2080-48c4-a7fa-6097e87c7391,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Over/Under,2.5,Bwin,Under 2.5,2.08,2025-11-11T00:14:04.484555,True
6c30a31d-ff57-4f29-af70-525e62a1406c,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Over/Under,2.5,Bet365,Over 2.5,2.12,2025-11-11T00:14:04.484555,True
292ab6ae-d172-44c3-8150-9659345ae3aa,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Over/Under,2.5,Bet365,Under 2.5,1.89,2025-11-11T00:14:04.484555,True
2886d083-49f0-4159-a550-08db3066e9c2,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Over/Under,2.5,Betfair,Over 2.5,2.09,2025-11-11T00:14:04.484555,True
c6dd0ed8-9152-4f48-a25d-4cb89c7c056e,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Over/Under,2.5,Betfair,Under 2.5,1.95,2025-11-11T00:14:04.484555,True
c912acb0-b30f-4a26-9431-d0e462737f18,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Over/Under,2.5,Unibet,Over 2.5,2.14,2025-11-11T00:14:04.484555,True
009fa9ae-9cad-40a9-a173-9d1b4b407287,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Over/Under,2.5,Unibet,Under 2.5,1.9,2025-11-11T00:14:04.484555,True
144e3c27-3350-4f0d-80b9-ab84b25f59ce,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Both Teams to Score,,William Hill,Yes,1.99,2025-11-11T00:14:04.484555,True
6faf13f1-699a-4e27-b512-649320b11b2a,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Both Teams to Score,,William Hill,No,2.03,2025-11-11T00:14:04.484555,True
533ce316-ebb3-4722-875a-76385d857998,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Both Teams to Score,,Unibet,Yes,1.93,2025-11-11T00:14:04.484555,True
b0970846-3e98-4720-a439-6624ed051022,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Both Teams to Score,,Unibet,No,2.08,2025-11-11T00:14:04.484555,True
ce2ca3b2-3d3e-4c06-a050-e678fb3528f9,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Both Teams to Score,,Coral,Yes,2.07,2025-11-11T00:14:04.484555,True
83536fc5-67ff-4d07-b3cd-7f66537b0c97,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Both Teams to Score,,Coral,No,1.93,2025-11-11T00:14:04.484555,True
d00e40eb-5ed0-45e9-a0b7-3384e823b3fb,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Both Teams to Score,,Betway,Yes,1.88,2025-11-11T00:14:04.484555,True
2b79c541-3c40-4422-94bd-96c27ee6b6c3,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Both Teams to Score,,Betway,No,2.16,2025-11-11T00:14:04.484555,True
364cf44b-cefa-4c01-a63d-115f6df9043a,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Both Teams to Score,,Bwin,Yes,1.83,2025-11-11T00:14:04.484555,True
c4c03728-c4b6-4da4-8663-c16a06598d56,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Both Teams to Score,,Bwin,No,2.18,2025-11-11T00:14:04.484555,True
d3552cea-a522-4cf7-8b58-dc22f4741e36,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Both Teams to Score,,Bet365,Yes,2.13,2025-11-11T00:14:04.484555,True
90cb7bb1-e8d3-4130-815b-e822256a3598,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Both Teams to Score,,Bet365,No,1.88,2025-11-11T00:14:04.484555,True
13a9115a-9a2a-431d-b2e6-4caeebc1194d,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Both Teams to Score,,Betfair,Yes,2.07,2025-11-11T00:14:04.484555,True
b89128ec-c6bc-4eec-9f6a-4a8c67349881,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Both Teams to Score,,Betfair,No,1.9,2025-11-11T00:14:04.484555,True
8f0cfa21-66c9-4d4b-8544-4e1b9acbcd57,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Both Teams to Score,,Paddy Power,Yes,2.0,2025-11-11T00:14:04.484555,True
0543633f-36aa-43f4-9f16-15799fd2f4c0,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Both Teams to Score,,Paddy Power,No,1.98,2025-11-11T00:14:04.484555,True
bad7c01b-ea13-4549-b2a8-7ec525aa8c16,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Spread,1.5,Betfair,Liverpool 1.5,1.97,2025-11-11T00:14:04.484555,True
9cbc967f-7e84-4cce-8d7f-807cec9f009f,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Spread,1.5,Betfair,Manchester City +1.5,2.04,2025-11-11T00:14:04.484555,True
e2eef7fd-0a54-4ee8-8417-1f829f36d081,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Spread,2.0,Ladbrokes,Liverpool 2.0,2.02,2025-11-11T00:14:04.484555,True
bdc368c5-07ac-48b8-8b4b-b962d80ead2b,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Spread,2.0,Ladbrokes,Manchester City +2.0,1.96,2025-11-11T00:14:04.484555,True
dd8eb1c3-e3d6-4451-9798-3106b33e394d,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Spread,1.5,Bwin,Liverpool 1.5,2.01,2025-11-11T00:14:04.484555,True
41b5a855-c12e-4bc4-b0b3-0075e58067bb,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Spread,1.5,Bwin,Manchester City +1.5,2.01,2025-11-11T00:14:04.484555,True
d92c2237-29d4-4897-a6ec-ddce177f3277,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Spread,1.5,888sport,Liverpool 1.5,1.88,2025-11-11T00:14:04.484555,True
a51b0ea2-3898-4b68-a9b5-8bc8c852daaa,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Spread,1.5,888sport,Manchester City +1.5,2.1,2025-11-11T00:14:04.484555,True
c30315fb-41e5-4fad-ab67-587180992787,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Spread,1.5,William Hill,Liverpool 1.5,1.9,2025-11-11T00:14:04.484555,True
55fc7a3c-bd45-4992-9550-6528f8cdc0fa,a8fa4293-73ce-4bc4-8db4-b6bd6b80d590,Football,Liverpool vs Manchester City,Spread,1.5,William Hill,Manchester City +1.5,2.13,2025-11-11T00:14:04.484555,True
af7a2c37-c3a2-4ada-b8c7-115592e44d32,5f8e5459-93d6-4a05-a582-523151d85720,Football,Real Madrid vs Barcelona,Match Winner,,Bet365,Real Madrid,3.16,2025-11-11T00:14:04.484555,True
4bddfbb2-b23d-4084-a281-c7ee7207e1ef,5f8e5459-93d6-4a05-a582-523151d85720,Football,Real Madrid vs Barcelona,Match Winner,,Bet365,Draw,3.97,2025-11-11T00:14:04.484555,True
a3fd3fb4-d0a7-4fb1-9207-97a5b68796de,5f8e5459-93d6-4a05-a582-523151d85720,Football,Real Madrid vs Barcelona,Match Winner,,Bet365,Barcelona,2.82,2025-11-11T00:14:04.484555,True
3098f3b8-030d-4b2a-be17-b482aa64e295,5f8e5459-93d6-4a05-a582-523151d85720,Football,Real Madrid vs Barcelona,Match Winner,,Coral,Real Madrid,2.92,2025-11-11T00:14:04.484555,True
25b3c6c1-6beb-49b7-9c26-59e2efe4ce07,5f8e5459-93d6-4a05-a582-523151d85720,Football,Real Madrid vs Barcelona,Match Winner,,Coral,Draw,2.91,2025-11-11T00:14:04.484555,True
5dec090a-8585-4830-83f7-e6a1311d1b6b,5f8e5459-93d6-4a05-a582-523151d85720,Football,Real Madrid vs Barcelona,Match Winner,,Coral,Barcelona,2.65,2025-11-11T00:14:04.484555,True
dcc5640c-9df9-419e-a22c-74b31ad20cd0,5f8e5459-93d6-4a05-a582-523151d85720,Football,Real Madrid vs Barcelona,Match Winner,,Betfair,Real Madrid,3.41,2025-11-11T00:14:04.484555,True
60469ea3-fcaf-4a2c-b8cf-57eb7851faea,5f8e5459-93d6-4a05-a582-523151d85720,Football,Real Madrid vs Barcelona,Match Winner,,Betfair,Draw,4.25,2025-11-11T00:14:04.484555,True
fdcba453-a9eb-4731-a57b-614d4dd7bb2d,5f8e5459-93d6-4a05-a582-523151d85720,Football,Real Madrid vs Barcelona,Match Winner,,Betfair,Barcelona,2.63,2025-11-11T00:14:04.484555,True
cf462c8a-ebda-463d-b27b-094dffca227d,5f8e5459-93d6-4a05-a582-523151d85720,Football,Real Madrid vs Barcelona,Match Winner,,Unibet,Real Madrid,2.43,2025-11-11T00:14:04.484555,True
1b6a6ad6-1c6b-44e4-907f-698a4d2a6554,5f8e5459-93d6-4a05-a582-523151d85720,Football,Real Madrid vs Barcelona,Match Winner,,Unibet,Draw,3.42,2025-11-11T00:14:04.484555,True
61ab226c-88bf-47e1-87c6-381bf31b78fb,5f8e5459-93d6-4a05-a582-523151d85720,Football,Real Madrid vs Barcelona,Match Winner,,Unibet,Barcelona,3.12,2025-11-11T00:14:04.484555,True
77228cbf-b771-498d-a0ca-b7163390da05,5f8e5459-93d6-4a05-a582-523151d85720,Football,Real Madrid vs Barcelona,Match Winner,,Paddy Power,Real Madrid,2.3,2025-11-11T00:14:04.484555,True
